Title,Theme,Studio,Source,Episodes,Rating,Members,Date,Img_url
Digimon Ghost Game,Unknown,Toei Animation,Other,67 eps,6.74,24K,"Oct 3, 2021",https://cdn.myanimelist.net/images/anime/1907/118797.jpg
Doraemon (2005),Anthropomorphic,Shin-Ei Animation,Manga,? eps,7.70,21K,"Apr 22, 2005",https://cdn.myanimelist.net/images/anime/6/23935.jpg
IDOLiSH7 Third Beat! Part 2,"Idols (Male), Music",TROYCA,Game,17 eps,8.33,15K,"Oct 2, 2022",https://cdn.myanimelist.net/images/anime/1458/125998.jpg
Eternal Boys,"Adult Cast, Idols (Male), Music",LIDENFILMS,Original,24 eps,6.55,14K,"Oct 11, 2022",https://cdn.myanimelist.net/images/anime/1665/127107.jpg
Gudetama,Unknown,Gathering,Original,? eps,7.04,13K,"Mar 31, 2014",https://cdn.myanimelist.net/images/anime/10/79996.jpg
Sazae-san,Unknown,Eiken,4-koma manga,? eps,6.12,8.5K,"Oct 5, 1969",https://cdn.myanimelist.net/images/anime/1008/98996.jpg
Nintama Rantarou,Unknown,Ajia-do,Manga,? eps,7.07,7.8K,"Apr 10, 1993",https://cdn.myanimelist.net/images/anime/6/74028.jpg
Shadowverse Flame,Strategy Game,Zexcs,Card game,50 eps,6.74,6.4K,"Apr 2, 2022",https://cdn.myanimelist.net/images/anime/1877/122972.jpg
Chibi Maruko-chan (1995),School,Nippon Animation,Manga,? eps,7.31,6.4K,"Jan 8, 1995",https://cdn.myanimelist.net/images/anime/1108/100604.jpg
Yu☆Gi☆Oh! Go Rush!!,Strategy Game,Bridge,Card game,? eps,5.65,6.1K,"Apr 3, 2022",https://cdn.myanimelist.net/images/anime/1690/140394.jpg
Sore Ike! Anpanman,Unknown,TMS Entertainment,Picture book,? eps,6.54,4.5K,"Oct 3, 1988",https://cdn.myanimelist.net/images/anime/1902/111797.jpg
Megaton-kyuu Musashi 2nd Season,"Mecha, School",OLM,Mixed media,15 eps,6.50,4.5K,"Oct 7, 2022",https://cdn.myanimelist.net/images/anime/1207/127832.jpg
Chiikawa,Unknown,Doga Kobo,Web manga,? eps,7.15,4.3K,"Apr 4, 2022",https://cdn.myanimelist.net/images/anime/1783/121944.jpg
