Title,Theme,Studio,Source,Episodes,Rating,Members,Date,Img_url
Wo Jia Da Shixiong You Dian Kaopu,"Historical, Martial Arts",Unknown,Manga,13 eps,6.85,1.2K,"Jan 6, 2023",https://cdn.myanimelist.net/images/anime/1473/119525.jpg
Li Shi Zhentan Shiwusuo: A Day in Lungmen - Once Upon a Time in Lungmen,"Anthropomorphic, Detective",Gravity Well,Game,1 eps,5.60,1.2K,"Jan 27, 2023",https://cdn.myanimelist.net/images/anime/1614/133158.jpg
Tom to Jerry (ONA),Unknown,"Fanworks, Studio Nanahoshi",Other,? eps,6.27,1.2K,"Nov 11, 2022",https://cdn.myanimelist.net/images/anime/1688/135721.jpg
Detarame na Sekai no Melodrama,Performing Arts,TOHO animation STUDIO,Original,1 eps,6.14,1.2K,"Mar 23, 2023",https://cdn.myanimelist.net/images/anime/1408/134693.jpg
Himitsu no Hana no Niwa,Unknown,Unknown,Music,1 eps,6.84,1.2K,"Mar 21, 2023",https://cdn.myanimelist.net/images/anime/1318/134230.jpg
Neko to Wakai se na,Unknown,Unknown,Original,1 eps,5.85,1.1K,"Mar 22, 2023",https://cdn.myanimelist.net/images/anime/1311/134662.jpg
Bio Sekai Meisaku Gekijou,Video Game,Nippon Animation,Game,3 eps,6.72,1.1K,"Mar 19, 2023",https://cdn.myanimelist.net/images/anime/1308/134603.jpg
Wo Jian Qile Yi Di Shuxing,Unknown,Foch Film,Other,16 eps,6.44,1.0K,"Jan 23, 2023",https://cdn.myanimelist.net/images/anime/1776/126821.jpg
Jintian Kaishi Shanyao Dengchang,"Crossdressing, Music",ASK Animation Studio,Manga,15 eps,N/A,978,"Mar 30, 2023",https://cdn.myanimelist.net/images/anime/1394/106617.jpg
Jian Yu Feng Yun 2nd Season,"Historical, Martial Arts",Ruo Hong Culture,Original,52 eps,6.73,971,"Jan 15, 2023",https://cdn.myanimelist.net/images/anime/1705/132499.jpg
Fuyu no Okurimono,Unknown,Wit Studio,Original,1 eps,6.53,914,"Mar 18, 2023",https://cdn.myanimelist.net/images/anime/1109/134904.jpg
Shen Lan Qi Yu Wushuang Zhu: Tianmo Pian,Unknown,CG Year,Web novel,15 eps,7.58,892,"Jan 14, 2023",https://cdn.myanimelist.net/images/anime/1349/132466.jpg
Azur Lane Valentine Special Mission,Unknown,ARCUS,Game,1 eps,5.93,879,"Feb 13, 2023",https://cdn.myanimelist.net/images/anime/1741/135997.jpg
Wu Geng Ji 4th Season Part 2,"Historical, Martial Arts",Sparkly Key Animation Studio,Manga,18 eps,6.78,835,"Jan 3, 2023",https://cdn.myanimelist.net/images/anime/1057/126729.jpg
Bakugan: Legends,Strategy Game,TMS Entertainment,Original,13 eps,5.72,823,"Mar 1, 2023",https://cdn.myanimelist.net/images/anime/1426/134705.jpg
Dan Dao Zongshi,Unknown,Quyue Technology,Novel,40 eps,6.46,799,"Feb 27, 2023",https://cdn.myanimelist.net/images/anime/1898/133847.jpg
Fanren Xiu Xian Chuan: Chongzhi Ban,"Historical, Martial Arts","Original Force, Wonder Cat Animation",Novel,21 eps,7.41,789,"Feb 5, 2023",https://cdn.myanimelist.net/images/anime/1287/133320.jpg
Shitasaki kara Koi,Unknown,AQUA ARIS,Manga,3 eps,5.61,700,"Mar 10, 2023",https://cdn.myanimelist.net/images/anime/1027/135568.jpg
Bai Lian Feisheng Lu,"Historical, Martial Arts",Suoyi Technology,Web novel,60 eps,6.63,684,"Mar 24, 2023",https://cdn.myanimelist.net/images/anime/1436/135113.jpg
Jiuzhou Piaomiao Lu,Unknown,BYMENT,Other,13 eps,6.62,619,"Jan 24, 2023",https://cdn.myanimelist.net/images/anime/1281/126741.jpg
Hidari Pilot Film,"Historical, Samurai","dwarf, Tecarat",Original,1 eps,7.04,591,"Jan 17, 2023",https://cdn.myanimelist.net/images/anime/1895/135776.jpg
Li Linke de Xiao Guaner 2nd Season,Workplace,Delight Animation,Original,10 eps,7.25,591,"Jan 30, 2023",https://cdn.myanimelist.net/images/anime/1918/132125.jpg
Guan Miao Shenmeshi,Pets,Unknown,Manga,13 eps,6.47,578,"Jan 2, 2023",https://cdn.myanimelist.net/images/anime/1873/132158.jpg
Fangkemeng: Bu Yuan Zhi Dao de Fangxing Baokemeng?!,Unknown,Unknown,Game,5 eps,6.09,524,"Feb 28, 2023",https://cdn.myanimelist.net/images/anime/1947/133931.jpg
Hua Jianghu: Bu Liang Ren VI,"Historical, Martial Arts",Rocen,Original,12 eps,N/A,513,"Mar 2, 2023",https://cdn.myanimelist.net/images/anime/1364/126727.jpg
Bing Zhu Qi Hun Part 2,"Historical, Martial Arts, Mythology",HuaDream,Original,12 eps,N/A,509,"Jan 24, 2023",https://cdn.myanimelist.net/images/anime/1685/132802.jpg
Fei Ren Zai 2nd Season Part 2,Mythology,Fenz,Manga,12 eps,N/A,442,"Jan 18, 2023",https://cdn.myanimelist.net/images/anime/1817/132240.jpg
Space Idol,"Idols (Female), Space",Kenji Studio,Original,6 eps,N/A,435,"Jan 27, 2023",https://cdn.myanimelist.net/images/anime/1305/132881.jpg
Tong Meng Zhi Lu,Unknown,Unknown,Game,1 eps,6.19,433,"Feb 28, 2023",https://cdn.myanimelist.net/images/anime/1814/133929.jpg
Xi Xing Ji: Anying Mo Cheng,"Historical, Martial Arts",BYMENT,Manga,1 eps,N/A,428,"Jan 18, 2023",https://cdn.myanimelist.net/images/anime/1654/132184.jpg
Demon Queen Just Wants to Make Peace,Unknown,Unknown,Web manga,10 eps,N/A,425,"Mar 27, 2023",https://cdn.myanimelist.net/images/anime/1540/134842.jpg
Observing Elena Evoy,Unknown,Unknown,Web manga,12 eps,N/A,387,"Mar 10, 2023",https://cdn.myanimelist.net/images/anime/1526/134829.jpg
Tsuru ga Mau Yoru ni,Unknown,"Noovo, pH Studio",Original,1 eps,6.13,354,"Mar 31, 2023",https://cdn.myanimelist.net/images/anime/1034/135878.jpg
Zhege Nianji Huan Neng Dang Daxia Ma,Unknown,Painting Dream,Game,10 eps,N/A,348,"Jan 5, 2023",https://cdn.myanimelist.net/images/anime/1538/129346.jpg
RabbiTube Mini,Idols (Male),Unknown,Game,16 eps,N/A,336,"Jan 25, 2023",https://cdn.myanimelist.net/images/anime/1459/132468.jpg
Yume Juuya,Unknown,Unknown,Game,1 eps,5.96,332,"Mar 7, 2023",https://cdn.myanimelist.net/images/anime/1328/141005.jpg
Moshi Meta: Moshi Joshikousei ga Metaverse de Miko ni Nattara,"Time Travel, Video Game",Studio Elle,Original,1 eps,N/A,330,"Mar 31, 2023",https://cdn.myanimelist.net/images/anime/1195/135877.jpg
Wo Shi Xuexiao Weiyi de Renlei,Unknown,MMT Technology,Manga,52 eps,N/A,316,"Jan 17, 2023",https://cdn.myanimelist.net/images/anime/1985/132694.jpg
Chan Chiho Challenge Channel,Unknown,Pie in the sky,Game,? eps,N/A,304,"Feb 10, 2023",https://cdn.myanimelist.net/images/anime/1620/134548.jpg
Hatachi no Ryouma with Kurofune-kun!,Historical,DLE,Original,? eps,N/A,303,"Aug 1, 2018",https://cdn.myanimelist.net/images/anime/1972/93305.jpg
Soushoku Dragon Chokotto,Unknown,Starry Cube,Novel,12 eps,N/A,279,"Jan 10, 2023",https://cdn.myanimelist.net/images/anime/1067/134050.jpg
Ibrahim 3-shuunen Kinen Anime,Unknown,Unknown,Other,1 eps,N/A,244,"Feb 1, 2023",https://cdn.myanimelist.net/images/anime/1873/141265.jpg
Sanguo Yanyi 3rd Season,"Historical, Martial Arts",Yinhe Changxing Culture,Novel,26 eps,N/A,244,"Jan 1, 2023",https://cdn.myanimelist.net/images/anime/1018/126922.jpg
FIFA,Team Sports,Steamworks,Original,1 eps,N/A,219,"Feb 8, 2023",https://cdn.myanimelist.net/images/anime/1631/135584.jpg
Goodme: Citron Tea,Unknown,Steamworks,Original,1 eps,N/A,205,"Feb 14, 2023",https://cdn.myanimelist.net/images/anime/1794/133494.jpg
Wander Burabura Bakkamu,Unknown,Echoes,Original,1 eps,N/A,202,"Mar 31, 2023",https://cdn.myanimelist.net/images/anime/1732/135876.jpg
Nico/Agony,Music,Usagi Ou,Original,1 eps,N/A,193,"Mar 31, 2023",https://cdn.myanimelist.net/images/anime/1385/135875.jpg
Wei Jiang,Unknown,Unknown,Original,26 eps,N/A,182,"Jan 6, 2023",https://cdn.myanimelist.net/images/anime/1058/135701.jpg
No More Princes,Unknown,Unknown,Web novel,3 eps,N/A,180,"Feb 13, 2023",https://cdn.myanimelist.net/images/anime/1148/138468.jpg
Otaku-chans,"Anthropomorphic, Idols (Female)",Unknown,Original,80 eps,N/A,174,"Mar 16, 2023",https://cdn.myanimelist.net/images/anime/1744/135454.jpg
See You on Our Veranda,Unknown,Unknown,Web novel,10 eps,N/A,146,"Feb 10, 2023",https://cdn.myanimelist.net/images/anime/1649/138467.jpg
Dongzhi Yinghao Yan,Unknown,Steamworks,Original,4 eps,N/A,139,"Feb 13, 2023",https://cdn.myanimelist.net/images/anime/1825/135607.jpg
Kakumei Inu Decapoo Tanjou,Unknown,Unknown,Original,1 eps,N/A,127,"Mar 17, 2023",https://cdn.myanimelist.net/images/anime/1841/138082.jpg
Cinnamon Anime Damon,Anthropomorphic,Unknown,Original,? eps,N/A,109,"Mar 3, 2023",https://cdn.myanimelist.net/images/anime/1326/141921.jpg
Mabeobdalpaengi Wau,Unknown,Unknown,Other,1 eps,N/A,91,"Mar 20, 2023",https://cdn.myanimelist.net/images/anime/1028/139191.jpg
Menghuan Shuyuan 8th Season,Unknown,Unknown,Game,12 eps,N/A,31,"Mar 27, 2023",https://cdn.myanimelist.net/images/anime/1061/144629.jpg
** Kouhai,"Harem, Mythology",Majin,Manga,10 eps,7.26,12K,"Jan 31, 2020",https://cdn.myanimelist.net/images/anime/1839/104009.jpg
3Piece The Animation,Unknown,Studio 1st,Manga,1 eps,6.63,6.2K,"Jan 27, 2023",https://cdn.myanimelist.net/images/anime/1290/129808.jpg
Imouto wa Gal Kawaii,Unknown,New Generation,Light novel,2 eps,6.81,5.5K,"Feb 3, 2023",https://cdn.myanimelist.net/images/anime/1445/131523.jpg
Class de Otoko wa Boku Ichinin!?,Unknown,T-Rex,Manga,1 eps,7.16,5.0K,"Mar 3, 2023",https://cdn.myanimelist.net/images/anime/1035/131564.jpg
Bonyuu-chan wa Dashitai.,Unknown,T-Rex,Manga,4 eps,7.16,5.0K,"Mar 3, 2023",https://cdn.myanimelist.net/images/anime/1322/131460.jpg
Otogibanashi no Onigokko,Unknown,Majin,Game,2 eps,5.90,4.5K,"Jan 27, 2023",https://cdn.myanimelist.net/images/anime/1767/130202.jpg
Majo wa Kekkyoku Sono Kyaku to... The Animation,Unknown,Studio 1st,Manga,2 eps,6.85,4.4K,"Feb 24, 2023",https://cdn.myanimelist.net/images/anime/1629/131563.jpg
Goblin no Suana,Unknown,Majin,Game,4 eps,5.56,3.9K,"Mar 31, 2023",https://cdn.myanimelist.net/images/anime/1340/132131.jpg
Ikumonogakari The Animation,Unknown,Blue bread,Manga,2 eps,6.53,3.8K,"Mar 31, 2023",https://cdn.myanimelist.net/images/anime/1123/131461.jpg
Futei with... The Animation,Unknown,Seven,Manga,1 eps,6.46,3.1K,"Mar 31, 2023",https://cdn.myanimelist.net/images/anime/1559/132061.jpg
Yari Agari,Unknown,Nur,Original,2 eps,6.23,2.8K,"Jan 27, 2023",https://cdn.myanimelist.net/images/anime/1340/130419.jpg
Aoharu Snatch,Unknown,Blue bread,Manga,? eps,5.88,2.8K,"Feb 17, 2023",https://cdn.myanimelist.net/images/anime/1164/127006.jpg
Sasaki to Miyano Movie: Sotsugyou-hen,"Otaku Culture, School",Studio Deen,Manga,1 eps,8.31,46K,"Feb 17, 2023",https://cdn.myanimelist.net/images/anime/1574/128922.jpg
Gridman Universe,Mecha,Trigger,Original,1 eps,8.09,30K,"Mar 24, 2023",https://cdn.myanimelist.net/images/anime/1897/133657.jpg
Blue Giant,Music,Nut,Manga,1 eps,8.37,29K,"Feb 17, 2023",https://cdn.myanimelist.net/images/anime/1958/132159.jpg
Hirano to Kagiura,School,Studio Deen,Manga,1 eps,7.59,26K,"Feb 17, 2023",https://cdn.myanimelist.net/images/anime/1818/134200.jpg
Kin no Kuni Mizu no Kuni,Unknown,Madhouse,Manga,1 eps,7.45,10K,"Jan 27, 2023",https://cdn.myanimelist.net/images/anime/1872/131491.jpg
SSSS.Gridman Movie,Mecha,Trigger,Original,1 eps,7.05,6.7K,"Jan 20, 2023",https://cdn.myanimelist.net/images/anime/1884/133240.jpg
SSSS.Dynazenon Movie,Mecha,Trigger,Original,1 eps,6.69,4.4K,"Mar 10, 2023",https://cdn.myanimelist.net/images/anime/1515/131848.jpg
Meitantei Conan: Haibara Ai Monogatari - Kurogane no Mystery Train,Detective,TMS Entertainment,Manga,1 eps,7.31,3.9K,"Jan 6, 2023",https://cdn.myanimelist.net/images/anime/1285/131672.jpg
Rakudai Majo: Fuuka to Yami no Majo,Unknown,Production I.G,Novel,1 eps,6.37,3.5K,"Mar 31, 2023",https://cdn.myanimelist.net/images/anime/1003/133209.jpg
Shenhai,Unknown,October Media,Original,1 eps,7.27,2.9K,"Jan 22, 2023",https://cdn.myanimelist.net/images/anime/1122/132765.jpg
Argonavis Movie: Axia,Music,SANZIGEN,Mixed media,1 eps,N/A,2.8K,"Mar 24, 2023",https://cdn.myanimelist.net/images/anime/1848/123788.jpg
Kyouki Sanmyaku: Naked Peak,Unknown,"G-angle, Stereotype",Original,1 eps,6.75,2.5K,"Feb 28, 2023",https://cdn.myanimelist.net/images/anime/1686/133916.jpg
Soukyuu no Fafner: Dead Aggressor - Behind the Line,"Mecha, Military",Production I.G,Original,1 eps,6.86,2.5K,"Jan 20, 2023",https://cdn.myanimelist.net/images/anime/1922/135391.jpg
Doraemon Movie 42: Nobita to Sora no Utopia,Unknown,Shin-Ei Animation,Manga,1 eps,7.37,2.4K,"Mar 3, 2023",https://cdn.myanimelist.net/images/anime/1299/131609.jpg
Aikatsu! 10th Story: Mirai e no Starway (2023),"Idols (Female), Music",Bandai Namco Pictures,Original,1 eps,7.75,1.7K,"Jan 20, 2023",https://cdn.myanimelist.net/images/anime/1837/130395.jpg
Art College 1994,"Historical, School, Visual Arts",Unknown,Original,1 eps,N/A,702,"Feb 24, 2023",https://cdn.myanimelist.net/images/anime/1582/133960.jpg
"Yamanaka Sadao ni Sasageru Manga Eiga ""Nezumikozou Jirokichi""",Historical,"Miyu Productions, Studio M2",Original,1 eps,N/A,531,"Mar 20, 2023",https://cdn.myanimelist.net/images/anime/1553/133701.jpg
Youkai Watch ♪ Movie 8: Jibanyan vs. Komasan - Monge Daikessen da Nyan,Mythology,Unknown,Game,1 eps,N/A,331,"Jan 13, 2023",https://cdn.myanimelist.net/images/anime/1762/131317.jpg
SpoGomi: Machi no Kizunazukuri-hen,Unknown,AION Studio,Original,1 eps,N/A,210,"Mar 7, 2023",https://cdn.myanimelist.net/images/anime/1564/142487.jpg
Planetarium Chibi Maruko-chan: Minamijuujisei ni Miserarete,Space,Unknown,Unknown,1 eps,N/A,149,"Mar 24, 2023",https://cdn.myanimelist.net/images/anime/1995/134695.jpg
Eommaui Ttang: Geulisyawa Supui Juin,Unknown,Studio Yona,Original,1 eps,N/A,111,"Jan 25, 2023",https://cdn.myanimelist.net/images/anime/1817/137925.jpg
Diamond wo Sagase! Usotsuki Karasu to Haru no Seiza-tachi,"Anthropomorphic, Space",Unknown,Unknown,1 eps,N/A,103,"Mar 4, 2023",https://cdn.myanimelist.net/images/anime/1158/135822.jpg
"Xiong Chumo: Ban Wo ""Xiong Xin""",Unknown,Unknown,Original,1 eps,N/A,98,"Jan 22, 2023",https://cdn.myanimelist.net/images/anime/1098/140063.jpg
Carrie & Superkola,Unknown,Unknown,Original,1 eps,N/A,91,"Jan 18, 2023",https://cdn.myanimelist.net/images/anime/1537/137924.jpg
Kara He Mayi Lixian Ji,Unknown,Unknown,Original,1 eps,N/A,71,"Mar 22, 2023",https://cdn.myanimelist.net/images/anime/1394/140190.jpg
Shingeki no Kyojin: The Final Season - Kanketsu-hen,"Gore, Military, Survival",MAPPA,Manga,2 eps,8.89,677K,"Mar 4, 2023",https://cdn.myanimelist.net/images/anime/1279/131078.jpg
Inu ni Nattara Suki na Hito ni Hirowareta. Specials,Unknown,Quad,Web manga,2 eps,5.32,20K,"Mar 29, 2023",https://cdn.myanimelist.net/images/anime/1453/132695.jpg
Evangelion: 3.0 (-46h),Mecha,Khara,Original,1 eps,7.04,10K,"Mar 8, 2023",https://cdn.myanimelist.net/images/anime/1613/134089.jpg
Buddy Daddies Intermission: Cherry-Pick,"Childcare, Organized Crime",P.A. Works,Original,1 eps,6.70,8.7K,"Mar 4, 2023",https://cdn.myanimelist.net/images/anime/1705/133951.jpg
Fushigi no Umi no Nadia Omake Gekijou,Unknown,Gainax,Original,10 eps,6.47,4.7K,"Dec 21, 1991",https://cdn.myanimelist.net/images/anime/1828/143218.jpg
Ayakashi Triangle Recap,"Magical Sex Shift, Mythology",Connect,Manga,1 eps,5.65,3.2K,"Mar 21, 2023",https://cdn.myanimelist.net/images/anime/1962/134596.jpg
Nijiyon Animation Specials,"CGDCT, Idols (Female)",Sunrise,4-koma manga,3 eps,6.68,2.6K,"Mar 29, 2023",https://cdn.myanimelist.net/images/anime/1292/134729.jpg
3-nen Z-gumi Ginpachi-sensei Announcement Special,Unknown,Bandai Namco Pictures,Light novel,1 eps,7.38,2.0K,"Mar 19, 2023",https://cdn.myanimelist.net/images/anime/1218/134528.jpg
Meitantei Conan: Keisatsu Gakkou-hen Wild Police Story - Case. Furuya Rei,Detective,Unknown,Manga,1 eps,6.74,1.1K,"Mar 11, 2023",https://cdn.myanimelist.net/images/anime/1039/140414.jpg
UniteUp! Furikaeranai to,"Idols (Male), Music",CloverWorks,Music,1 eps,6.09,799,"Mar 18, 2023",https://cdn.myanimelist.net/images/anime/1964/134367.jpg
Kuroko no Basket: Basket Kyoushitsu,Team Sports,Production I.G,Manga,1 eps,N/A,302,"Mar 24, 2023",https://cdn.myanimelist.net/images/anime/1231/143270.jpg
Sore Shikanai Wakenai deshou,Unknown,NHK Art,Picture book,1 eps,N/A,258,"Mar 22, 2023",https://cdn.myanimelist.net/images/anime/1977/133957.jpg
Kimetsu no Yaiba: Katanakaji no Sato-hen,Historical,ufotable,Manga,11 eps,8.22,870K,"Apr 9, 2023",https://cdn.myanimelist.net/images/anime/1765/135099.jpg
"""Oshi no Ko""","Reincarnation, Showbiz",Doga Kobo,Manga,11 eps,8.63,830K,"Apr 12, 2023",https://cdn.myanimelist.net/images/anime/1812/134736.jpg
Jigokuraku,"Gore, Historical, Samurai",MAPPA,Manga,13 eps,8.10,710K,"Apr 1, 2023",https://cdn.myanimelist.net/images/anime/1075/131925.jpg
Mashle,"Gag Humor, Parody, School",A-1 Pictures,Manga,12 eps,7.62,588K,"Apr 8, 2023",https://cdn.myanimelist.net/images/anime/1218/135107.jpg
Tengoku Daimakyou,Unknown,Production I.G,Manga,13 eps,8.21,497K,"Apr 1, 2023",https://cdn.myanimelist.net/images/anime/1121/133132.jpg
Dr. Stone: New World,Unknown,TMS Entertainment,Manga,11 eps,8.15,476K,"Apr 6, 2023",https://cdn.myanimelist.net/images/anime/1316/136268.jpg
Yamada-kun to Lv999 no Koi wo Suru,Video Game,Madhouse,Web manga,13 eps,7.80,422K,"Apr 2, 2023",https://cdn.myanimelist.net/images/anime/1298/134178.jpg
Kono Subarashii Sekai ni Bakuen wo!,Unknown,Drive,Light novel,12 eps,7.49,329K,"Apr 6, 2023",https://cdn.myanimelist.net/images/anime/1626/135844.jpg
Boku no Kokoro no Yabai Yatsu,School,Shin-Ei Animation,Manga,12 eps,8.24,316K,"Apr 2, 2023",https://cdn.myanimelist.net/images/anime/1545/133887.jpg
"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta","Isekai, School",Millepensee,Light novel,13 eps,6.35,303K,"Apr 7, 2023",https://cdn.myanimelist.net/images/anime/1316/134327.jpg
Skip to Loafer,School,P.A. Works,Manga,12 eps,8.12,275K,"Apr 4, 2023",https://cdn.myanimelist.net/images/anime/1518/138730.jpg
Tonikaku Kawaii 2nd Season,Unknown,Seven Arcs,Manga,12 eps,7.60,250K,"Apr 8, 2023",https://cdn.myanimelist.net/images/anime/1996/133361.jpg
Dead Mount Death Play,Reincarnation,Geek Toys,Manga,12 eps,7.29,233K,"Apr 11, 2023",https://cdn.myanimelist.net/images/anime/1930/133758.jpg
Kimi wa Houkago Insomnia,School,LIDENFILMS,Manga,13 eps,8.07,218K,"Apr 11, 2023",https://cdn.myanimelist.net/images/anime/1402/134007.jpg
Kaminaki Sekai no Kamisama Katsudou,"Isekai, Parody",Studio Palette,Manga,12 eps,6.72,187K,"Apr 6, 2023",https://cdn.myanimelist.net/images/anime/1794/135148.jpg
Mahoutsukai no Yome Season 2,"Mythology, School",Studio Kafka,Manga,12 eps,7.76,184K,"Apr 6, 2023",https://cdn.myanimelist.net/images/anime/1532/135155.jpg
Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,"Harem, Isekai, Reincarnation","EMT Squared, Magic Bus",Light novel,12 eps,6.67,169K,"Apr 3, 2023",https://cdn.myanimelist.net/images/anime/1071/135255.jpg
Isekai Shoukan wa Nidome desu,"Harem, Isekai",Studio Elle,Light novel,12 eps,5.67,154K,"Apr 9, 2023",https://cdn.myanimelist.net/images/anime/1387/134151.jpg
Kanojo ga Koushaku-tei ni Itta Riyuu,"Isekai, Reincarnation",Typhoon Graphics,Web manga,12 eps,7.53,149K,"Apr 10, 2023",https://cdn.myanimelist.net/images/anime/1109/130452.jpg
Otonari ni Ginga,"Childcare, Otaku Culture",Asahi Production,Manga,12 eps,7.14,145K,"Apr 9, 2023",https://cdn.myanimelist.net/images/anime/1091/135041.jpg
Ousama Ranking: Yuuki no Takarabako,Unknown,Wit Studio,Web manga,10 eps,7.31,140K,"Apr 14, 2023",https://cdn.myanimelist.net/images/anime/1897/131615.jpg
Isekai wa Smartphone to Tomo ni. 2,"Harem, Isekai",J.C.Staff,Light novel,12 eps,6.43,138K,"Apr 3, 2023",https://cdn.myanimelist.net/images/anime/1932/131464.jpg
My Home Hero,"Adult Cast, Organized Crime",Tezuka Productions,Manga,12 eps,7.06,128K,"Apr 2, 2023",https://cdn.myanimelist.net/images/anime/1525/132959.jpg
Yuusha ga Shinda!,"Harem, Parody",LIDENFILMS,Web manga,12 eps,6.61,124K,"Apr 7, 2023",https://cdn.myanimelist.net/images/anime/1868/133866.jpg
Megami no Café Terrace,"Adult Cast, Harem",Tezuka Productions,Manga,12 eps,7.32,123K,"Apr 8, 2023",https://cdn.myanimelist.net/images/anime/1963/136050.jpg
Isekai One Turn Kill Neesan: Ane Douhan no Isekai Seikatsu Hajimemashita,Isekai,Gekkou,Manga,12 eps,6.33,103K,"Apr 8, 2023",https://cdn.myanimelist.net/images/anime/1250/135256.jpg
Kidou Senshi Gundam: Suisei no Majo Season 2,"Mecha, School, Space",Sunrise,Original,12 eps,7.92,91K,"Apr 9, 2023",https://cdn.myanimelist.net/images/anime/1023/134768.jpg
Kuma Kuma Kuma Bear Punch!,Isekai,EMT Squared,Light novel,12 eps,7.28,80K,"Apr 3, 2023",https://cdn.myanimelist.net/images/anime/1132/134608.jpg
Niehime to Kemono no Ou,Anthropomorphic,J.C.Staff,Manga,24 eps,7.96,77K,"Apr 20, 2023",https://cdn.myanimelist.net/images/anime/1397/133339.jpg
Mahou Shoujo Magical Destroyers,"Mahou Shoujo, Otaku Culture, Psychological",Bibury Animation Studios,Original,12 eps,6.27,74K,"Apr 8, 2023",https://cdn.myanimelist.net/images/anime/1203/134079.jpg
Edens Zero 2nd Season,Space,J.C.Staff,Manga,25 eps,7.43,69K,"Apr 2, 2023",https://cdn.myanimelist.net/images/anime/1943/135100.jpg
Jijou wo Shiranai Tenkousei ga Guigui Kuru.,"Romantic Subtext, School",Studio Signpost,Manga,13 eps,7.51,67K,"Apr 9, 2023",https://cdn.myanimelist.net/images/anime/1350/133642.jpg
Edomae Elf,Otaku Culture,C2C,Manga,12 eps,7.26,64K,"Apr 8, 2023",https://cdn.myanimelist.net/images/anime/1171/133777.jpg
Ao no Orchestra,"Music, Performing Arts, School",Nippon Animation,Web manga,24 eps,7.15,58K,"Apr 9, 2023",https://cdn.myanimelist.net/images/anime/1832/133754.jpg
Watashi no Yuri wa Oshigoto desu!,Workplace,"Passione, Studio Lings",Manga,12 eps,6.69,55K,"Apr 6, 2023",https://cdn.myanimelist.net/images/anime/1708/133360.jpg
Rokudou no Onna-tachi,"Delinquents, Harem, School",Satelight,Manga,12 eps,6.41,52K,"Apr 8, 2023",https://cdn.myanimelist.net/images/anime/1933/134709.jpg
Kawaisugi Crisis,Pets,SynergySP,Manga,12 eps,6.82,42K,"Apr 7, 2023",https://cdn.myanimelist.net/images/anime/1332/134658.jpg
Birdie Wing: Golf Girls' Story Season 2,Unknown,Bandai Namco Pictures,Original,12 eps,7.57,34K,"Apr 8, 2023",https://cdn.myanimelist.net/images/anime/1407/135263.jpg
